# OSM export 2014-01-12T18:22:01Z
# Map data © OpenStreetMap contributors - http://www.openstreetmap.org/, licensed under ODbL - http://opendatacommons.org/licenses/odbl/

foot	(low tide route)
 53.1281857   13.5749902
 53.1278782   13.5769106
 53.1277160   13.5792680
 53.1277160   13.5820176
 53.1278667   13.5848508
 53.1282253   13.5896924
 53.1282612   13.5907802
 53.1281608   13.5913421
 53.1279743   13.5917844
 53.1275798   13.5921191
 53.1245956   13.5939362
 53.1241867   13.5939243
 53.1233976   13.5930994
 53.1227233   13.5917485
 53.1222383   13.5908464
 53.1211808   13.5888795
 53.1204634   13.5879350
 53.1200186   13.5878633
 53.1198105   13.5880905
 53.1196742   13.5888077
 53.1197747   13.5892500
 53.1201119   13.5895609
 53.1209871   13.5897402
 53.1217835   13.5903618
 53.1222383   13.5908464

tourist	54: Dschungel X - pedition
 48.4232026   10.3031419
 48.4230874   10.3031464
 48.4228642   10.3032309
 48.4227861   10.3032475
 48.4227481   10.3032294
 48.4227411   10.3031871
 48.4227621   10.3031298
 48.4228542   10.3029955
 48.4229923   10.3027240
 48.4232456   10.3023484
 48.4232867   10.3023107
 48.4233257   10.3023152
 48.4233567   10.3023484
 48.4233667   10.3024117
 48.4233567   10.3024509
 48.4232970   10.3025380
 48.4232066   10.3026700
 48.4231385   10.3027693
 48.4230995   10.3028205
 48.4230624   10.3028100
 48.4230214   10.3027949
 48.4229803   10.3028477
 48.4228702   10.3031479
 48.4231547   10.3032961
 48.4232296   10.3033455
 48.4232496   10.3034149
 48.4232957   10.3034270
 48.4233277   10.3033923
 48.4233387   10.3033516
 48.4233350   10.3033028
 48.4232555   10.3032211
 48.4233404   10.3031836
 48.4233657   10.3031460
 48.4233618   10.3030931
 48.4233384   10.3030507
 48.4233229   10.3030432
 48.4232963   10.3030632
 48.4232757   10.3031165
 48.4232026   10.3031419

foot	61
 53.5430134    9.9353794
 53.5428256    9.9353972
 53.5425196    9.9350539
 53.5422900    9.9344016
 53.5420809    9.9337922
 53.5418055    9.9333974
 53.5414990    9.9329268
 53.5410497    9.9327082
 53.5404304    9.9326900
 53.5398658    9.9329268
 53.5393618    9.9333154
 53.5389645    9.9336634
 53.5384289    9.9343930
 53.5373476    9.9356204
 53.5366436    9.9362383
 53.5358785    9.9368392
 53.5349858    9.9372511
 53.5341768    9.9376504
 53.5333389    9.9379844
 53.5323311    9.9384519
 53.5314709    9.9387704
 53.5292346    9.9394719
 53.5278017    9.9395265
 53.5268910    9.9391622
 53.5261746    9.9382940
 53.5256802    9.9375773
 53.5256156    9.9371677
 53.5254251    9.9374829
 53.5247660    9.9379722
 53.5244867    9.9384883
 53.5243934    9.9389662
 53.5244001    9.9396316
 53.5243734    9.9400885
 53.5243001    9.9403053
 53.5241783    9.9406004
 53.5241476    9.9407792

foot	61
 53.5439476    9.9673348
 53.5440802    9.9690686
 53.5443199    9.9697896
 53.5445239    9.9702187
 53.5449456    9.9709153

foot	61, 62
 53.5439822    9.9520114
 53.5437240    9.9519653
 53.5435294    9.9515935
 53.5430041    9.9487954
 53.5427190    9.9453500
 53.5425553    9.9414376
 53.5424939    9.9373747
 53.5426726    9.9359980
 53.5428613    9.9355517
 53.5430134    9.9353794

foot	61, 62
 53.5439822    9.9520114
 53.5438456    9.9526492
 53.5437994    9.9534177
 53.5437733    9.9586208
 53.5439374    9.9637986
 53.5439476    9.9673348

foot	62
 53.5430134    9.9353794
 53.5428868    9.9352427
 53.5426777    9.9346848
 53.5425298    9.9333974
 53.5422108    9.9302859
 53.5419915    9.9272131
 53.5419762    9.9244666
 53.5420170    9.9211192
 53.5421700    9.9186987
 53.5426188    9.9167847
 53.5435269    9.9145044
 53.5432461    9.9140639
 53.5428228    9.9119524
 53.5426746    9.9047872
 53.5425372    9.8992491
 53.5425895    9.8933955
 53.5422975    9.8905634
 53.5419954    9.8889261
 53.5414967    9.8873448
 53.5412661    9.8809782
 53.5414803    9.8764120
 53.5412406    9.8753563
 53.5408216    9.8749721
 53.5402241    9.8749977
 53.5395217    9.8757769
 53.5381190    9.8778711
 53.5373334    9.8789612
 53.5369509    9.8793045
 53.5366551    9.8792357
 53.5364350    9.8789199

foot	62
 53.5412661    9.8809782
 53.5409116    9.8829867
 53.5407662    9.8838106
 53.5402919    9.8851668
 53.5401693    9.8853792
 53.5404602    9.8857590
 53.5411527    9.8868185
 53.5414967    9.8873448

foot	62
 53.5451535    9.9697369
 53.5447789    9.9695836
 53.5443250    9.9688540
 53.5439476    9.9673348

foot	64
 53.5364350    9.8789199
 53.5368239    9.8787165
 53.5370529    9.8785578
 53.5389395    9.8759525
 53.5409179    9.8731105
 53.5415767    9.8717929
 53.5419649    9.8699106
 53.5419061    9.8662990
 53.5417047    9.8639752
 53.5415985    9.8633590
 53.5464939    9.8626584

tourist	66: Käpt'n Nicks Piratenschlacht
